month,work_related,topic,share_of_messages
2025-12-01,1,Practical Guidance,0.255
2025-12-01,1,Seeking information,0.192
2025-12-01,1,Self-expression,0.064
2025-12-01,1,Technical help,0.610
2025-12-01,1,Writing,0.479
2026-01-01,0,Multimedia,0.625
2026-01-01,0,Other/Unknown,0.766
2026-01-01,0,Practical Guidance,0.745
2026-01-01,0,Seeking information,0.805
2026-01-01,0,Self-expression,0.924
2026-01-01,0,Technical help,0.414
2026-01-01,0,Writing,0.506
2026-01-01,1,Multimedia,0.375
2026-01-01,1,Other/Unknown,0.234
2026-01-01,1,Practical Guidance,0.255
2026-01-01,1,Seeking information,0.195
2026-01-01,1,Self-expression,0.076
2026-01-01,1,Technical help,0.586
2026-01-01,1,Writing,0.494
2026-02-01,0,Multimedia,0.622
2026-02-01,0,Other/Unknown,0.755
2026-02-01,0,Practical Guidance,0.742
2026-02-01,0,Seeking information,0.804
2026-02-01,0,Self-expression,0.919
2026-02-01,0,Technical help,0.422
2026-02-01,0,Writing,0.498
2026-02-01,1,Multimedia,0.378
2026-02-01,1,Other/Unknown,0.245
2026-02-01,1,Practical Guidance,0.258
2026-02-01,1,Seeking information,0.196
2026-02-01,1,Self-expression,0.081
2026-02-01,1,Technical help,0.578
2026-02-01,1,Writing,0.502
2026-03-01,0,Multimedia,0.616
2026-03-01,0,Other/Unknown,0.748
2026-03-01,0,Practical Guidance,0.741
2026-03-01,0,Seeking information,0.807
2026-03-01,0,Self-expression,0.913
2026-03-01,0,Technical help,0.441
2026-03-01,0,Writing,0.492
2026-03-01,1,Multimedia,0.384
2026-03-01,1,Other/Unknown,0.252
2026-03-01,1,Practical Guidance,0.259
2026-03-01,1,Seeking information,0.193
2026-03-01,1,Self-expression,0.087
2026-03-01,1,Technical help,0.559
2026-03-01,1,Writing,0.508
