quarter,country,rank
2025-04-01,BJ,89
2025-04-01,YE,90
2025-04-01,AF,91
2025-04-01,CG,92
2025-04-01,MG,93
2025-04-01,MZ,94
2025-04-01,ZM,95
2025-04-01,CM,96
2025-04-01,TG,97
2025-04-01,AO,98
2025-04-01,MM,99
2025-04-01,TZ,100
2025-04-01,PG,101
2025-04-01,ZW,102
2025-04-01,GN,103
2025-04-01,BF,104
2025-04-01,SL,105
2025-04-01,LR,106
2025-04-01,UG,107
2025-04-01,MW,108
2025-04-01,ET,109
2025-04-01,ML,110
2025-04-01,CD,111
2025-04-01,SD,112
2025-04-01,BI,113
2025-04-01,NE,114
2025-04-01,TD,115
2025-04-01,SS,116
2025-04-01,CF,117
2025-04-01,TM,118
2025-07-01,SG,1
2025-07-01,NL,2
2025-07-01,IL,3
2025-07-01,FI,4
2025-07-01,AE,5
2025-07-01,CH,6
2025-07-01,AZ,7
2025-07-01,NO,8
2025-07-01,AU,9
2025-07-01,DE,10
2025-07-01,SE,11
2025-07-01,CA,12
2025-07-01,CZ,13
2025-07-01,GR,14
2025-07-01,BE,15
2025-07-01,KR,16
2025-07-01,DK,17
2025-07-01,FR,18
2025-07-01,PT,19
2025-07-01,NZ,20
2025-07-01,IE,21
2025-07-01,AT,22
2025-07-01,ES,23
2025-07-01,RS,24
2025-07-01,MY,25
2025-07-01,BG,26
2025-07-01,TW,27
2025-07-01,US,28
2025-07-01,PL,29
2025-07-01,SA,30
2025-07-01,GB,31
2025-07-01,HU,32
2025-07-01,KZ,33
2025-07-01,SK,34
2025-07-01,CR,35
2025-07-01,CL,36
2025-07-01,LB,37
2025-07-01,RO,38
2025-07-01,PE,39
2025-07-01,AR,40
2025-07-01,JP,41
2025-07-01,IT,42
2025-07-01,BR,43
2025-07-01,JO,44
2025-07-01,CO,45
2025-07-01,TR,46
2025-07-01,UA,47
2025-07-01,EC,48
2025-07-01,OM,49
2025-07-01,PS,50
2025-07-01,PH,51
2025-07-01,DO,52
2025-07-01,TN,53
2025-07-01,VN,54
2025-07-01,DZ,55
2025-07-01,LY,56
2025-07-01,TH,57
2025-07-01,BO,58
2025-07-01,KG,59
2025-07-01,PY,60
2025-07-01,MA,61
2025-07-01,MX,62
2025-07-01,SV,63
2025-07-01,IQ,64
2025-07-01,UZ,65
2025-07-01,EG,66
2025-07-01,NI,67
2025-07-01,ID,68
2025-07-01,NP,69
2025-07-01,LK,70
2025-07-01,GT,71
2025-07-01,HN,72
2025-07-01,ZA,73
2025-07-01,KH,74
2025-07-01,IN,75
2025-07-01,KE,76
2025-07-01,BD,77
2025-07-01,PK,78
2025-07-01,GH,79
2025-07-01,LA,80
2025-07-01,NG,81
2025-07-01,TJ,82
2025-07-01,SN,83
2025-07-01,SO,84
2025-07-01,CI,85
2025-07-01,YE,86
2025-07-01,BJ,87
2025-07-01,RW,88
2025-07-01,MR,89
2025-07-01,AF,90
2025-07-01,CG,91
2025-07-01,HT,92
2025-07-01,MM,93
2025-07-01,MG,94
2025-07-01,ZM,95
2025-07-01,AO,96
2025-07-01,MZ,97
2025-07-01,CM,98
2025-07-01,ZW,99
2025-07-01,TG,100
2025-07-01,TZ,101
2025-07-01,BF,102
2025-07-01,PG,103
2025-07-01,SL,104
2025-07-01,LR,105
2025-07-01,UG,106
2025-07-01,GN,107
2025-07-01,MW,108
2025-07-01,SD,109
2025-07-01,CD,110
2025-07-01,ET,111
2025-07-01,ML,112
2025-07-01,BI,113
2025-07-01,SS,114
2025-07-01,CF,115
2025-07-01,NE,116
2025-07-01,TD,117
2025-07-01,TM,118
2025-10-01,SG,1
2025-10-01,NL,2
2025-10-01,AZ,3
2025-10-01,IL,4
2025-10-01,AE,5
2025-10-01,CH,6
2025-10-01,FI,7
2025-10-01,BE,8
2025-10-01,NO,9
2025-10-01,CA,10
2025-10-01,SE,11
2025-10-01,DE,12
2025-10-01,FR,13
2025-10-01,DK,14
2025-10-01,AT,15
2025-10-01,ES,16
2025-10-01,IE,17
2025-10-01,AU,18
2025-10-01,KR,19
2025-10-01,CZ,20
2025-10-01,PT,21
2025-10-01,RS,22
2025-10-01,GR,23
2025-10-01,KZ,24
2025-10-01,US,25
2025-10-01,SA,26
2025-10-01,HU,27
2025-10-01,GB,28
2025-10-01,SK,29
2025-10-01,PL,30
2025-10-01,BG,31
2025-10-01,TW,32
2025-10-01,NZ,33
2025-10-01,LB,34
2025-10-01,MY,35
2025-10-01,RO,36
2025-10-01,CL,37
2025-10-01,CR,38
2025-10-01,PE,39
2025-10-01,TR,40
2025-10-01,OM,41
2025-10-01,AR,42
2025-10-01,JP,43
2025-10-01,IT,44
2025-10-01,UA,45
2025-10-01,JO,46
2025-10-01,BR,47
2025-10-01,TN,48
2025-10-01,EC,49
2025-10-01,PS,50
2025-10-01,CO,51
2025-10-01,DZ,52
2025-10-01,DO,53
2025-10-01,KG,54
2025-10-01,VN,55
2025-10-01,PH,56
2025-10-01,LY,57
2025-10-01,MA,58
2025-10-01,UZ,59
2025-10-01,MX,60
2025-10-01,BO,61
2025-10-01,SV,62
2025-10-01,PY,63
2025-10-01,TH,64
2025-10-01,IQ,65
2025-10-01,EG,66
2025-10-01,ID,67
2025-10-01,NI,68
2025-10-01,LK,69
2025-10-01,HN,70
2025-10-01,NP,71
2025-10-01,KH,72
2025-10-01,ZA,73
2025-10-01,GT,74
2025-10-01,IN,75
2025-10-01,KE,76
2025-10-01,PK,77
2025-10-01,BD,78
2025-10-01,GH,79
2025-10-01,TJ,80
2025-10-01,SO,81
2025-10-01,NG,82
2025-10-01,SN,83
2025-10-01,MR,84
2025-10-01,RW,85
2025-10-01,CI,86
2025-10-01,BJ,87
2025-10-01,YE,88
2025-10-01,LA,89
2025-10-01,CG,90
2025-10-01,HT,91
2025-10-01,CM,92
2025-10-01,TG,93
2025-10-01,AF,94
2025-10-01,ZM,95
2025-10-01,MG,96
2025-10-01,ZW,97
2025-10-01,AO,98
2025-10-01,MM,99
2025-10-01,MZ,100
2025-10-01,UG,101
2025-10-01,TZ,102
2025-10-01,LR,103
2025-10-01,BF,104
2025-10-01,GN,105
2025-10-01,MW,106
2025-10-01,SL,107
2025-10-01,ET,108
2025-10-01,PG,109
2025-10-01,CD,110
2025-10-01,SD,111
2025-10-01,ML,112
2025-10-01,BI,113
2025-10-01,TD,114
2025-10-01,SS,115
2025-10-01,CF,116
2025-10-01,NE,117
2025-10-01,TM,118
2025-10-01,HK,119
2026-01-01,SG,1
2026-01-01,NL,2
2026-01-01,CH,3
2026-01-01,AE,4
2026-01-01,IL,5
2026-01-01,AZ,6
2026-01-01,NO,7
2026-01-01,CA,8
2026-01-01,BE,9
2026-01-01,SE,10
2026-01-01,AT,11
2026-01-01,DK,12
2026-01-01,FR,13
2026-01-01,DE,14
2026-01-01,KR,15
2026-01-01,ES,16
2026-01-01,AU,17
2026-01-01,IE,18
2026-01-01,PT,19
2026-01-01,RS,20
2026-01-01,CZ,21
2026-01-01,FI,22
2026-01-01,GR,23
2026-01-01,GB,24
2026-01-01,HU,25
2026-01-01,SK,26
2026-01-01,BG,27
2026-01-01,PL,28
2026-01-01,US,29
2026-01-01,KZ,30
2026-01-01,NZ,31
2026-01-01,RO,32
2026-01-01,CR,33
2026-01-01,SA,34
2026-01-01,JP,35
2026-01-01,LB,36
2026-01-01,MY,37
2026-01-01,TR,38
2026-01-01,CL,39
2026-01-01,TW,40
2026-01-01,AR,41
2026-01-01,BR,42
2026-01-01,IT,43
2026-01-01,DO,44
2026-01-01,UA,45
2026-01-01,EC,46
2026-01-01,JO,47
2026-01-01,CO,48
2026-01-01,OM,49
2026-01-01,PS,50
2026-01-01,TN,51
2026-01-01,KG,52
2026-01-01,PE,53
2026-01-01,MX,54
2026-01-01,DZ,55
2026-01-01,PH,56
2026-01-01,VN,57
2026-01-01,UZ,58
2026-01-01,MA,59
2026-01-01,LY,60
2026-01-01,TH,61
2026-01-01,SV,62
2026-01-01,BO,63
2026-01-01,PY,64
2026-01-01,IQ,65
2026-01-01,NI,66
2026-01-01,LK,67
2026-01-01,EG,68
2026-01-01,NP,69
2026-01-01,ID,70
2026-01-01,HN,71
2026-01-01,GT,72
2026-01-01,ZA,73
2026-01-01,IN,74
2026-01-01,KE,75
2026-01-01,KH,76
2026-01-01,PK,77
2026-01-01,GH,78
2026-01-01,TJ,79
2026-01-01,BD,80
2026-01-01,NG,81
2026-01-01,HT,82
2026-01-01,SN,83
2026-01-01,RW,84
2026-01-01,SO,85
2026-01-01,BJ,86
2026-01-01,CI,87
2026-01-01,MR,88
2026-01-01,CM,89
2026-01-01,LA,90
2026-01-01,AF,91
2026-01-01,CG,92
2026-01-01,ZW,93
2026-01-01,MM,94
2026-01-01,ZM,95
2026-01-01,TZ,96
2026-01-01,YE,97
2026-01-01,AO,98
2026-01-01,MG,99
2026-01-01,TG,100
2026-01-01,MZ,101
2026-01-01,GN,102
2026-01-01,BF,103
2026-01-01,PG,104
2026-01-01,SL,105
2026-01-01,LR,106
2026-01-01,UG,107
2026-01-01,MW,108
2026-01-01,CD,109
2026-01-01,ET,110
2026-01-01,SD,111
2026-01-01,ML,112
2026-01-01,BI,113
2026-01-01,SS,114
2026-01-01,NE,115
2026-01-01,TD,116
2026-01-01,CF,117
2026-01-01,HK,118
2026-01-01,TM,119
