month,topic,typical_name_gender,share_of_messages
2025-10-01,Self-expression,masculine,0.391
2025-10-01,Technical help,feminine,0.346
2025-10-01,Technical help,masculine,0.654
2025-10-01,Writing,feminine,0.569
2025-10-01,Writing,masculine,0.431
2025-11-01,Multimedia,feminine,0.480
2025-11-01,Multimedia,masculine,0.520
2025-11-01,Other/Unknown,feminine,0.506
2025-11-01,Other/Unknown,masculine,0.494
2025-11-01,Practical Guidance,feminine,0.525
2025-11-01,Practical Guidance,masculine,0.475
2025-11-01,Seeking information,feminine,0.459
2025-11-01,Seeking information,masculine,0.541
2025-11-01,Self-expression,feminine,0.625
2025-11-01,Self-expression,masculine,0.375
2025-11-01,Technical help,feminine,0.349
2025-11-01,Technical help,masculine,0.651
2025-11-01,Writing,feminine,0.569
2025-11-01,Writing,masculine,0.431
2025-12-01,Multimedia,feminine,0.469
2025-12-01,Multimedia,masculine,0.531
2025-12-01,Other/Unknown,feminine,0.492
2025-12-01,Other/Unknown,masculine,0.508
2025-12-01,Practical Guidance,feminine,0.518
2025-12-01,Practical Guidance,masculine,0.482
2025-12-01,Seeking information,feminine,0.455
2025-12-01,Seeking information,masculine,0.545
2025-12-01,Self-expression,feminine,0.622
2025-12-01,Self-expression,masculine,0.378
2025-12-01,Technical help,feminine,0.350
2025-12-01,Technical help,masculine,0.650
2025-12-01,Writing,feminine,0.560
2025-12-01,Writing,masculine,0.440
2026-01-01,Multimedia,feminine,0.492
2026-01-01,Multimedia,masculine,0.508
2026-01-01,Other/Unknown,feminine,0.501
2026-01-01,Other/Unknown,masculine,0.499
2026-01-01,Practical Guidance,feminine,0.528
2026-01-01,Practical Guidance,masculine,0.472
2026-01-01,Seeking information,feminine,0.468
2026-01-01,Seeking information,masculine,0.532
2026-01-01,Self-expression,feminine,0.616
2026-01-01,Self-expression,masculine,0.384
2026-01-01,Technical help,feminine,0.364
2026-01-01,Technical help,masculine,0.636
2026-01-01,Writing,feminine,0.564
2026-01-01,Writing,masculine,0.436
2026-02-01,Multimedia,feminine,0.509
2026-02-01,Multimedia,masculine,0.491
2026-02-01,Other/Unknown,feminine,0.505
2026-02-01,Other/Unknown,masculine,0.495
2026-02-01,Practical Guidance,feminine,0.533
2026-02-01,Practical Guidance,masculine,0.467
2026-02-01,Seeking information,feminine,0.475
2026-02-01,Seeking information,masculine,0.525
2026-02-01,Self-expression,feminine,0.627
2026-02-01,Self-expression,masculine,0.373
2026-02-01,Technical help,feminine,0.371
2026-02-01,Technical help,masculine,0.629
2026-02-01,Writing,feminine,0.571
2026-02-01,Writing,masculine,0.429
2026-03-01,Multimedia,feminine,0.510
2026-03-01,Multimedia,masculine,0.490
2026-03-01,Other/Unknown,feminine,0.516
2026-03-01,Other/Unknown,masculine,0.484
2026-03-01,Practical Guidance,feminine,0.545
2026-03-01,Practical Guidance,masculine,0.455
2026-03-01,Seeking information,feminine,0.477
2026-03-01,Seeking information,masculine,0.523
2026-03-01,Self-expression,feminine,0.627
2026-03-01,Self-expression,masculine,0.373
2026-03-01,Technical help,feminine,0.387
2026-03-01,Technical help,masculine,0.613
2026-03-01,Writing,feminine,0.574
2026-03-01,Writing,masculine,0.426
